817.389	2894	2433
817.308	3015	2399
817.227	3040	2465
817.147	3020	2467
817.066	2966	2487
816.985	2995	2584
816.904	2909	2377
816.823	3026	2562
816.743	2990	2526
816.662	2988	2528
816.581	2994	2438
816.5	2932	2390
816.419	3024	2509
816.339	3059	2532
816.258	3081	2453
816.177	3210	2527
816.096	3099	2600
816.016	3074	2616
815.935	3006	2685
815.854	3171	2579
815.773	3091	2534
815.693	3126	2572
815.612	3173	2726
815.531	3288	2633
815.451	3154	2528
815.37	3158	2525
815.289	3079	2607
815.208	3225	2670
815.128	3253	2702
815.047	3193	2708
814.966	3177	2616
814.886	3147	2632
814.805	3203	2732
814.724	3285	2816
814.644	3281	2711
814.563	3280	2768
814.482	3200	2746
814.402	3489	2742
814.321	3185	2775
814.24	3276	2767
814.16	3341	2806
814.079	3430	2786
813.998	3353	2827
813.918	3283	2836
813.837	3285	2738
813.756	3402	2801
813.676	3371	2810
813.595	3394	2835
813.515	3447	2849
813.434	3406	2989
813.353	3516	2816
813.273	3508	2888
813.192	3393	2928
813.112	3562	2968
813.031	3451	2944
812.95	3548	2986
812.87	3602	2830
812.789	3526	2930
812.709	3518	2993
812.628	3582	2953
812.547	3392	2892
812.467	3586	2865
812.386	3446	2945
812.306	3576	2834
812.225	3568	3004
812.145	3529	2839
812.064	3652	2897
811.984	3585	2952
811.903	3594	2980
811.823	3516	2925
811.742	3542	2891
811.662	3654	3029
811.581	3620	2896
811.5	3559	2871
811.42	3647	2896
811.339	3660	2981
811.259	3603	2907
811.178	3640	2962
811.098	3649	2962
811.018	3561	2754
810.937	3568	2998
810.857	3640	2892
810.776	3652	2907
810.696	3532	2853
810.615	3560	2997
810.535	3673	2894
810.454	3656	2911
810.374	3563	3098
810.293	3701	2993
810.213	3791	2946
810.132	3825	3025
810.052	3719	3228
809.972	3666	3033
809.891	3642	2987
809.811	3567	2952
809.73	3642	2996
809.65	3799	3047
809.569	3664	3052
809.489	3806	3152
809.409	3734	2986
809.328	3666	3161
809.248	3677	3033
809.168	3773	3019
809.087	3595	3046
809.007	3765	2929
808.926	3566	3094
808.846	3808	2980
808.766	3784	2991
808.685	3704	3039
808.605	3668	2936
808.525	3768	3023
808.444	3682	3022
808.364	3599	2966
808.284	3582	2978
808.203	3686	2910
808.123	3754	2965
808.043	3763	3024
807.962	3817	3048
807.882	3727	3033
807.802	3739	2972
807.721	3616	2988
807.641	3634	2982
807.561	3689	3008
807.48	3700	3082
807.4	3783	3090
807.32	3824	3062
807.239	3654	2924
807.159	3792	3088
807.079	3721	3118
806.999	3776	3012
806.918	3790	3110
806.838	3687	3033
806.758	3768	3090
806.678	3762	3077
806.597	3668	2965
806.517	3746	3102
806.437	3626	3181
806.357	3741	3002
806.276	3668	3069
806.196	3704	3043
806.116	3656	3012
806.036	3549	2936
805.955	3561	2985
805.875	3648	2918
805.795	3629	2870
805.715	3646	2998
805.635	3689	2867
805.554	3547	2892
805.474	3614	2895
805.394	3630	2945
805.314	3663	2951
805.234	3537	2901
805.154	3528	2999
805.073	3611	2894
804.993	3562	2861
804.913	3696	2914
804.833	3645	3001
804.753	3664	2854
804.673	3738	2912
804.592	3623	2931
804.512	3699	2977
804.432	3669	2979
804.352	3655	2974
804.272	3566	2998
804.192	3567	3052
804.112	3658	3107
804.032	3685	2952
803.951	3726	3021
803.871	3628	3014
803.791	3857	3045
803.711	3654	3064
803.631	3773	3114
803.551	3812	3050
803.471	3814	3119
803.391	3908	3127
803.311	3897	3206
803.231	3828	3031
803.151	3885	3229
803.07	4001	3344
802.99	3825	3198
802.91	4076	3229
802.83	4028	3279
802.75	3866	3159
802.67	3933	3219
802.59	4008	3221
802.51	3934	3167
802.43	3922	3208
802.35	3905	3165
802.27	3947	3264
802.19	3810	3206
802.11	3875	3259
802.03	4095	3322
801.95	4012	3261
801.87	3996	3257
801.79	4078	3235
801.71	3961	3263
801.63	4047	3243
801.55	3989	3315
801.47	4114	3331
801.39	3957	3290
801.31	3963	3382
801.23	3999	3383
801.15	4084	3415
801.07	4214	3407
800.99	4220	3414
800.91	4257	3489
800.83	4164	3559
800.75	4157	3443
800.67	4241	3440
800.591	4149	3446
800.511	4153	3310
800.431	4131	3397
800.351	4156	3523
800.271	4161	3372
800.191	4165	3346
800.111	4184	3375
800.031	4228	3424
799.951	4281	3437
799.871	4307	3427
799.791	4350	3428
799.712	4133	3397
799.632	4326	3452
799.552	4438	3532
799.472	4360	3464
799.392	4198	3392
799.312	4338	3490
799.232	4125	3425
799.152	4149	3523
799.073	4414	3585
798.993	4281	3536
798.913	4288	3583
798.833	4332	3567
798.753	4342	3432
798.673	4246	3468
798.594	4343	3557
798.514	4349	3536
798.434	4266	3545
798.354	4270	3504
798.274	4321	3571
798.194	4417	3698
798.115	4370	3465
798.035	4350	3603
797.955	4346	3555
797.875	4436	3622
797.796	4461	3508
797.716	4516	3635
797.636	4415	3587
797.556	4424	3517
797.476	4374	3582
797.397	4490	3629
797.317	4448	3655
797.237	4373	3596
797.157	4436	3626
797.078	4299	3602
796.998	4441	3649
796.918	4326	3601
796.838	4476	3642
796.759	4486	3620
796.679	4423	3789
796.599	4454	3640
796.52	4342	3662
796.44	4442	3693
796.36	4437	3615
796.28	4231	3591
796.201	4509	3703
796.121	4376	3699
796.041	4459	3475
795.962	4493	3630
795.882	4464	3552
795.802	4178	3420
795.723	4079	3381
795.643	3942	3215
795.563	3724	3264
795.484	3351	2885
795.404	3235	2635
795.324	2884	2399
795.245	2454	2094
795.165	2184	1828
795.085	1779	1566
795.006	1595	1346
794.926	1306	1095
794.846	1010	841
794.767	780	633
794.687	612	558
794.608	456	325
794.528	295	239
794.448	203	192
794.369	152	138
794.289	76	86
794.21	79	73
794.13	56	73
794.05	51	50
793.971	78	62
793.891	50	72
793.812	53	28
793.732	46	47
793.653	69	15
793.573	90	64
793.493	65	54
793.414	67	40
793.334	67	56
793.255	50	59
793.175	24	20
793.096	-2	-10
793.016	18	20
792.937	50	57
792.857	80	76
792.778	78	58
792.698	76	75
792.619	48	-13
792.539	61	50
792.46	42	56
792.38	73	46
792.301	60	46
792.221	76	50
792.142	41	45
792.062	61	62
791.983	67	55
791.903	29	38
791.824	66	72
791.744	78	73
791.665	119	82
791.585	41	35
791.506	29	37
791.426	73	76
791.347	61	102
791.268	60	64
791.188	76	70
791.109	61	52
791.029	95	47
790.95	58	59
790.87	69	58
790.791	95	68
790.712	62	66
790.632	64	35
790.553	76	53
790.473	77	63
790.394	128	87
790.315	47	42
790.235	93	64
790.156	73	62
790.077	91	71
789.997	71	67
789.918	73	90
789.838	106	79
789.759	91	75
789.68	70	41
789.6	105	96
789.521	75	92
789.442	79	58
789.362	98	71
789.283	86	87
789.204	77	43
789.124	114	98
789.045	78	95
788.966	82	81
788.886	52	78
788.807	83	19
788.728	55	31
788.649	103	40
788.569	83	77
788.49	134	85
788.411	53	34
788.331	94	104
788.252	69	65
788.173	88	58
788.094	91	101
788.014	40	40
787.935	74	86
787.856	95	44
787.777	68	78
787.697	87	91
787.618	114	100
787.539	98	90
787.46	111	63
787.38	82	63
787.301	72	113
787.222	95	62
787.143	68	55
787.064	74	54
786.984	65	61
786.905	75	80
786.826	109	46
786.747	62	48
786.668	61	103
786.588	91	68
786.509	96	64
786.43	81	73
786.351	63	70
786.272	92	40
786.192	74	61
786.113	91	55
786.034	116	99
785.955	59	63
785.876	38	46
785.797	60	81
785.718	83	54
785.638	96	47
785.559	64	59
785.48	73	36
785.401	104	69
785.322	99	90
785.243	82	64
785.164	50	72
785.085	88	57
785.006	91	84
784.926	75	63
784.847	91	78
784.768	91	85
784.689	88	75
784.61	123	81
784.531	70	70
784.452	49	69
784.373	85	85
784.294	72	64
784.215	96	100
784.136	117	119
784.057	100	76
783.978	67	72
783.899	96	35
783.82	84	61
783.74	57	42
783.661	110	78
783.582	45	109
783.503	91	80
783.424	94	84
783.345	49	61
783.266	99	86
783.187	63	61
783.108	103	70
783.029	48	38
782.95	80	36
782.871	78	43
782.792	119	65
782.713	78	61
782.634	65	68
782.555	61	66
782.477	119	75
782.398	54	68
782.319	71	63
782.24	83	65
782.161	74	72
782.082	84	53
782.003	95	77
781.924	86	69
781.845	47	76
781.766	88	57
781.687	73	54
781.608	59	56
781.529	97	47
781.45	91	77
781.371	90	77
781.293	101	78
781.214	100	84
781.135	79	49
781.056	85	60
780.977	77	66
780.898	76	58
780.819	56	55
780.74	91	71
780.661	51	64
780.583	80	61
780.504	97	86
780.425	102	93
780.346	79	62
780.267	67	74
780.188	60	48
780.11	106	62
780.031	82	86
779.952	84	77
779.873	91	55
779.794	69	60
779.715	82	51
779.637	90	104
779.558	75	41
779.479	73	93
779.4	80	118
779.321	114	92
779.243	96	91
779.164	53	-7
779.085	16	8
779.006	71	49
778.927	81	56
778.849	111	111
778.77	74	39
778.691	85	77
778.612	84	99
778.534	66	35
778.455	67	65
778.376	97	45
778.297	100	65
778.219	90	60
778.14	94	103
778.061	92	40
777.983	64	66
777.904	46	64
777.825	85	74
777.746	116	59
777.668	112	111
777.589	94	60
777.51	58	71
777.432	83	94
777.353	77	100
777.274	69	73
777.196	44	23
777.117	98	69
777.038	50	60
776.96	128	75
776.881	54	77
776.802	104	67
776.724	89	79
776.645	68	75
776.566	113	40
776.488	98	82
776.409	93	72
776.33	94	81
776.252	90	84
776.173	76	88
776.094	140	118
776.016	164	123
775.937	223	174
775.859	233	247
775.78	416	351
775.701	514	454
775.623	817	651
775.544	1085	846
775.466	1470	1237
775.387	1866	1592
775.308	2339	1875
775.23	2751	2221
775.151	3162	2625
775.073	3439	2875
774.994	3826	3197
774.916	4241	3567
774.837	4623	3757
774.759	4794	3955
774.68	5065	4247
774.601	5315	4494
774.523	5541	4784
774.444	5746	4778
774.366	5908	4850
774.287	5796	4921
774.209	6124	4971
774.13	6041	5004
774.052	6166	5119
773.973	6085	5128
773.895	6145	5126
773.816	6211	5184
